order_id,customer_id,order_date_fk,revenue
287466,K2175875746.0,20170523,51.00
310563,K2347225107.0,20170523,50.88
284290,K2497948021.0,20170523,49.78
285079,K2750193095.0,20170523,49.61
310550,K325826715.0,20170523,48.32
311308,K2000950232.0,20170523,48.32
292172,K776745577.0,20170523,47.70
305785,K3661698339.0,20170523,46.74
285859,K135858288.0,20170523,44.25
279082,K3915035854.0,20170523,43.69
283468,K180851268.0,20170523,43.45
284296,K180851268.0,20170523,43.45
292167,K565862404.0,20170523,42.50
306531,K3645534472.0,20170523,42.50
291371,K3104709474.0,20170523,42.38
310552,K3549743727.0,20170523,42.00
283467,K180851268.0,20170523,41.86
310192,K961761457.0,20170523,40.87
288212,K4029167521.0,20170523,40.25
284289,K4057793597.0,20170523,40.10
295327,K2128794338.0,20170523,39.08
291370,K2228872620.0,20170523,38.25
292925,K781917059.0,20170523,38.25
311304,K3370306384.0,20170523,35.84
284288,K2425559498.0,20170523,35.60
285076,K1719637182.0,20170523,34.54
289801,K2827473566.0,20170523,32.46
284293,K1209751633.0,20170523,32.20
304165,K1103572854.0,20170523,31.75
310313,K1349225615.0,20170523,31.16
291379,K3760749378.0,20170523,29.98
289010,K1619050079.0,20170523,29.90
287470,K3475282565.0,20170523,29.43
287462,K570757436.0,20170523,27.94
310198,K3926091419.0,20170523,27.87
283464,K1771391290.0,20170523,26.60
290614,K1850192271.0,20170523,26.44
307314,K3628609506.0,20170523,25.57
296898,K3757679354.0,20170523,25.42
279484,K3967198001.0,20170523,25.10
286693,K2620535372.0,20170523,19.79
289011,K2547267266.0,20170523,19.79
290612,K3261495479.0,20170523,19.79
304167,K3570077589.0,20170523,19.79
284297,K1016183552.0,20170523,19.79
296901,K902668015.0,20170523,19.79
292932,K2967983585.0,20170523,19.79
284299,K1627320940.0,20170523,17.52
286696,K2541222487.0,20170523,16.97
126877,K871129821.0,20170523,16.20
283471,K3668283504.0,20170523,16.02
306542,K3188148971.0,20170523,14.99
282666,K4199576706.0,20170523,14.99
290610,K1737269769.0,20170523,14.99
305792,K1541921757.0,20170523,14.99
298556,K3564405603.0,20170523,14.99
286372,K3904971261.0,20170523,14.99
289804,K2326952467.0,20170523,14.99
283417,K586678974.0,20170523,12.98
269711,K1713796095.0,20170523,8.90
269709,K1087541003.0,20170523,8.00
277493,K1970313189.0,20170524,370.59
310218,K3979996584.0,20170524,304.48
296107,K1186112852.0,20170524,169.60
310195,K2615962177.0,20170524,165.70
287472,K1433522781.0,20170524,154.52
310115,K2464446564.0,20170524,154.40
285081,K1478761776.0,20170524,123.89
293723,K3634723943.0,20170524,118.90
296109,K3681630997.0,20170524,110.70
305793,K3625324642.0,20170524,102.00
290616,K3132302562.0,20170524,101.88
286702,K3209329079.0,20170524,98.95
283475,K3055841517.0,20170524,93.02
282668,K2119185521.0,20170524,90.66
284304,K1468179096.0,20170524,87.28
286701,K3495655224.0,20170524,87.02
279482,K525450189.0,20170524,86.50
296106,K3870332169.0,20170524,84.92
279470,K3478989446.0,20170524,83.89
282670,K915714694.0,20170524,83.38
252583,K1060675613.0,20170524,80.00
280675,K2884603551.0,20170524,74.30
310118,K2838767546.0,20170524,67.88
287474,K2840060053.0,20170524,63.67
287473,K1734168710.0,20170524,62.68
126879,K2084901417.0,20170524,58.94
296905,K1426619375.0,20170524,56.70
285004,K3475472452.0,20170524,55.76
289015,K3431874020.0,20170524,55.49
293724,K2101528133.0,20170524,55.29
296907,K2168994905.0,20170524,54.99
284305,K2244759829.0,20170524,52.76
284301,K166987059.0,20170524,51.00
301763,K2691733068.0,20170524,49.99
310096,K804192410.0,20170524,49.82
