customer_id,customer_type,primary_sales_channel,first_order_day_fk
K0166936,B2C,Offline,20170422
K0166937,B2C,Offline,20170422
K0166938,B2C,Offline,20170422
K0166939,B2C,Offline,20170422
K0166940,B2C,Offline,20170422
K0166941,B2C,Offline,20170422
K0166942,B2C,Offline,20170422
K0166943,B2C,Offline,20170422
K0166944,B2C,Offline,20170422
K0166945,B2C,Offline,20170422
K0166947,B2C,Offline,20170422
K0166948,B2C,Offline,20170422
K0166951,B2C,Offline,20170423
K0166954,B2C,Offline,20170423
K0166956,B2C,Offline,20170423
K0166957,B2C,Offline,20170423
K0166962,B2C,Offline,20170423
K0166964,B2C,Offline,20170423
K0166966,B2C,Offline,20170423
K0166967,B2C,Offline,20170423
K0166968,B2C,Offline,20170423
K0166969,B2C,Offline,20170423
K0166970,B2C,Offline,20170423
K0166971,B2C,Offline,20170423
K0166972,B2C,Offline,20170423
K0166974,B2C,Offline,20170423
K0166975,B2C,Offline,20170423
K0166977,B2C,Offline,20170423
K0166978,B2C,Offline,20170423
K0166979,B2C,Offline,20170423
K0166980,B2C,Offline,20170423
K0166981,B2C,Offline,20170423
K0166983,B2C,Offline,20170423
K0166988,B2C,Offline,20170423
K0166989,B2C,Offline,20170423
K0166990,B2C,Offline,20170423
K0166991,B2C,Offline,20170423
K0166992,B2C,Offline,20170423
K0166994,B2C,Offline,20170429
K0166995,B2C,Offline,20170429
K0166996,B2C,Offline,20170429
K0166997,B2C,Offline,20170429
K0166998,B2C,Offline,20170429
K0167002,B2C,Offline,20170429
K0167003,B2C,Offline,20170429
K0167004,B2C,Offline,20170429
K0167005,B2C,Offline,20170429
K0167006,B2C,Offline,20170429
K0167007,B2C,Offline,20170429
K0167012,B2C,Offline,20170429
K0167013,B2C,Offline,20170429
K0167014,B2C,Offline,20170429
K0167016,B2C,Offline,20170430
K0167018,B2C,Offline,20170430
K0167021,B2C,Offline,20170430
K0167023,B2C,Offline,20170430
K0167024,B2C,Offline,20170430
K0167025,B2C,Offline,20170430
K0167027,B2C,Offline,20170430
K0167028,B2C,Offline,20170430
K0167029,B2C,Offline,20170430
K0167032,B2C,Offline,20170430
K0167033,B2C,Offline,20170430
K0167034,B2C,Offline,20170430
K0167036,B2C,Offline,20170430
K0167037,B2C,Offline,20170430
K0167038,B2C,Offline,20170430
K0167041,B2C,Offline,20170430
K0167042,B2C,Offline,20170430
K0167043,B2C,Offline,20170430
K0167044,B2C,Offline,20170430
K0167045,B2C,Offline,20170430
K0167046,B2C,Offline,20170506
K0167047,B2C,Offline,20170506
K0167048,B2C,Offline,20170506
K0167049,B2C,Offline,20170506
K0167050,B2C,Offline,20170506
K0167052,B2C,Offline,20170506
K0167053,B2C,Offline,20170506
K0167054,B2C,Offline,20170506
K0167055,B2C,Offline,20170506
K0167056,B2C,Offline,20170506
K0167057,B2C,Offline,20170506
K0167060,B2C,Offline,20170506
K0167061,B2C,Offline,20170507
K0167065,B2C,Offline,20170507
K0167066,B2C,Offline,20170507
K0167067,B2C,Offline,20170507
K0167070,B2C,Offline,20170507
K0167071,B2C,Offline,20170507
K0167073,B2C,Offline,20170507
K0167074,B2C,Offline,20170507
K0167075,B2C,Offline,20170507
K0167077,B2C,Offline,20170507
K0167078,B2C,Offline,20170507
K0167080,B2C,Offline,20170507
K0167084,B2C,Offline,20170507
K0167087,B2C,Offline,20170507
K0167089,B2C,Offline,20170507
K0167090,B2C,Offline,20170507
K0167091,B2C,Offline,20170507
K0167096,B2C,Offline,20170507
K0167100,B2C,Offline,20170507
K0167103,B2C,Offline,20170510
K0167105,B2C,Offline,20170510
K0167107,B2C,Offline,20170510
K0167110,B2C,Offline,20170510
K0167111,B2C,Offline,20170510
K0167112,B2C,Offline,20170510
K0167113,B2C,Offline,20170510
K0167114,B2C,Offline,20170510
K0167115,B2C,Offline,20170510
K0167116,B2C,Offline,20170510
K0167117,B2C,Offline,20170510
K0167118,B2C,Offline,20170510
K0167119,B2C,Offline,20170510
K0167120,B2C,Offline,20170510
K0167121,B2C,Offline,20170510
K0167122,B2C,Offline,20170510
K0167123,B2C,Offline,20170510
K0167124,B2C,Offline,20170510
K0167125,B2C,Offline,20170510
K0167126,B2C,Offline,20170510
K0167127,B2C,Offline,20170510
K0167128,B2C,Offline,20170510
K0167129,B2C,Offline,20170510
K0167132,B2C,Offline,20170510
K0167133,B2C,Offline,20170510
K0167134,B2C,Offline,20170510
K0167135,B2C,Offline,20170510
K0167137,B2C,Offline,20170510
K0167143,B2C,Offline,20170510
K0167146,B2C,Offline,20170510
K0167147,B2C,Offline,20170510
K0167149,B2C,Offline,20170510
K0167151,B2C,Offline,20170510
K0167152,B2C,Offline,20170510
K0167153,B2C,Offline,20170510
K0167154,B2C,Offline,20170510
K0167155,B2C,Offline,20170510
K0167156,B2C,Offline,20170510
K0167157,B2C,Offline,20170510
K0167161,B2C,Offline,20170510
K0167162,B2C,Offline,20170510
K0167166,B2C,Offline,20170510
K0167168,B2C,Offline,20170510
K0167169,B2C,Offline,20170510
K0167170,B2C,Offline,20170510
K0167171,B2C,Offline,20170510
K0167172,B2C,Offline,20170510
K0167173,B2C,Offline,20170510
K0167174,B2C,Offline,20170510
K0167175,B2C,Offline,20170510
K0167176,B2C,Offline,20170510
K0167177,B2C,Offline,20170510
K0167178,B2C,Offline,20170510
K0167179,B2C,Offline,20170510
K0167180,B2C,Offline,20170510
K0167181,B2C,Offline,20170510
K0167182,B2C,Offline,20170510
K0167183,B2C,Offline,20170510
K0167185,B2C,Offline,20170510
K0167186,B2C,Offline,20170510
K0167187,B2C,Offline,20170510
K0167188,B2C,Offline,20170510
K0167193,B2C,Offline,20170510
K0167194,B2C,Offline,20170510
K0167195,B2C,Offline,20170510
K0167196,B2C,Offline,20170510
K0167198,B2C,Offline,20170510
K0167199,B2C,Offline,20170510
K0167200,B2C,Offline,20170510
K0167203,B2C,Offline,20170510
K0167204,B2C,Offline,20170510
K0167205,B2C,Offline,20170513
K0167206,B2C,Offline,20170513
K0167207,B2C,Offline,20170513
K0167208,B2C,Offline,20170513
K0167209,B2C,Offline,20170513
K0167210,B2C,Offline,20170513
K0167211,B2C,Offline,20170513
K0167212,B2C,Offline,20170513
K0167216,B2C,Offline,20170513
K0167217,B2C,Offline,20170513
K0167219,B2C,Offline,20170514
K0167223,B2C,Offline,20170514
K0167224,B2C,Offline,20170514
K0167225,B2C,Offline,20170514
K0167226,B2C,Offline,20170514
K0167227,B2C,Offline,20170514
K0167228,B2C,Offline,20170514
K0167230,B2C,Offline,20170514
K0167231,B2C,Offline,20170514
K0167232,B2C,Offline,20170514
K0167236,B2C,Offline,20170514
K0167237,B2C,Offline,20170514
K0167240,B2C,Offline,20170514
K0167242,B2C,Offline,20170514
K0167243,B2C,Offline,20170514
K0167244,B2C,Offline,20170514
K0167251,B2C,Offline,20170514
K0167253,B2C,Offline,20170514
K0167254,B2C,Offline,20170514
K0167255,B2C,Offline,20170514
K0167257,B2C,Offline,20170514
K0167259,B2C,Offline,20170514
K0167260,B2C,Offline,20170514
K0167261,B2C,Offline,20170514
K0167263,B2C,Offline,20170514
K0167264,B2C,Offline,20170514
K0167265,B2C,Offline,20170514
K0167266,B2C,Offline,20170514
