timestamp,temperature_celsius,precipitation_mm,wind_speed_km_h
20200330T0300,8.283208,0,13.481524
20200330T0400,7.903209,0,14.338656
20200330T0500,7.513209,0,14.671362
20200330T0600,7.163209,0,15.968452
20200330T0700,6.9232087,0,15.899415
20200330T0800,6.5432086,0,15.59066
20200330T0900,6.723209,0,19.006104
20200330T1000,6.283209,0,21.431543
20200330T1100,5.433209,0,21.611263
20200330T1200,5.0232086,0,20.218338
20200330T1300,6.723209,0,18.609903
20200330T1400,7.323209,0,18.04651
20200330T1500,8.213208,0,15.672383
20200330T1600,8.223208,0,13.386435
20200330T1700,9.223208,0,14.6519985
20200330T1800,10.113209,0,17.143002
20200330T1900,9.213208,0,20.751858
20200330T2000,8.123208,0,19.987104
20200330T2100,7.163209,0,19.065754
20200330T2200,4.853209,0.2,19.837412
20200330T2300,3.3232088,1.4,18.778837
20200331T0000,2.0732088,2,17.316
20200331T0100,1.5932088,1.5,19.828466
20200331T0200,1.8132088,1.1,28.022697
20200331T0300,1.7732089,0.8,20.75186
20200331T0400,1.2732089,1.1,25.139183
20200331T0500,1.6432087,0.6,24.902344
20200331T0600,1.8432088,0.2,25.862762
20200331T0700,1.9032087,0.8,24.539185
20200331T0800,2.473209,1.3,20.652445
20200331T0900,3.7532089,1.6,14.388066
20200331T1000,5.433209,1.9,17.590471
20200331T1100,5.7132087,1.1,16.561855
20200331T1200,6.7332087,1.2,16.357046
20200331T1300,8.453208,0.9,15.013241
20200331T1400,10.383208,0,18.146513
20200331T1500,10.743208,0.1,8.819409
20200331T1600,11.273209,0,13.824594
20200331T1700,10.843208,0,13.752537
20200331T1800,11.713208,0,13.386435
20200331T1900,12.263208,0,12.14971
20200331T2000,11.3932085,0.5,12.523633
20200331T2100,8.513208,4.9,15.7176
20200331T2200,8.343208,0.6,10.656
20200331T2300,8.573209,0,9.824347
20200401T0000,8.613209,0.4,5.9865956
20200401T0100,8.743208,1.9,6.579594
20200401T0200,9.013208,0.9,4.4337797
20200401T0300,8.903209,0.4,7.7987437
20200401T0400,8.723208,1,7.743951
20200401T0500,8.313209,0.3,7.53493
20200401T0600,7.723209,0.3,5.842608
20200401T0700,7.223209,0,4.861344
20200401T0800,6.4432087,0,3.996
20200401T0900,6.6732087,0,4.72062
20200401T1000,7.4032087,0,4.3038235
20200401T1100,9.123208,0,3.3697233
20200401T1200,10.703208,0,5.8668513
20200401T1300,10.813209,0,6.823169
20200401T1400,12.223208,0,6.448861
20200401T1500,11.793208,0,6.791894
20200401T1600,12.813209,0,6.6172385
20200401T1700,12.473208,0,6.4378467
20200401T1800,12.993208,0,5.1725526
20200401T1900,12.813209,0,5.1725526
20200401T2000,12.263208,0,5.6449146
20200401T2100,11.6432085,0,6.0748544
20200401T2200,10.603209,0,6.6653256
20200401T2300,9.493208,0,8.00974
